method,seed,cvar_prob_status,mv_prob_status,cvar_value,cvar_var,cvar_variance,cvar_exp_return,cvar_max_weight,cvar_hhi,cvar_n_eff,cvar_d1,cvar_d2,cvar_dinf,mv_value,mv_var,mv_variance,mv_exp_return,mv_max_weight,mv_hhi,mv_n_eff,mv_d1,mv_d2,mv_dinf
historical,0,optimal,optimal,0.02161531743348901,0.012958476317191329,8.247035306224353e-05,0.0006988849051902536,0.34999999999905107,0.2748961686008784,3.6377371321311482,0.13053304974290797,0.05942827855587656,0.042834111073331495,0.021779089485940376,0.012731025105627633,8.219302959355477e-05,0.0006988899443482485,0.34999961397987095,0.2734426454439213,3.6570740397005266,0.15942070183938753,0.07501208032169858,0.06003365301583193
historical,1,optimal,optimal,0.020732032568320537,0.013273160202710835,9.303224144534278e-05,0.0008941831547771236,0.3499999999993213,0.2844469762931827,3.5155937075924077,0.1338966910870075,0.061094242663659676,0.04715642978629385,0.02106690193113828,0.013247105888026413,9.120657478931445e-05,0.0008942477461517111,0.3499978078920133,0.2774086415906162,3.6047903708628617,0.1048119389257747,0.051956920319860475,0.033811459213674705
historical,2,optimal,optimal,0.02286665459026319,0.01287543572480887,0.00010166644657209236,0.0009680906272904316,0.349999999996929,0.2683044582047951,3.7271091456732575,0.10958630954804859,0.05161460405941984,0.04179385628533108,0.023543031203161386,0.013991828468016412,0.00010019288493235288,0.0009681186773837443,0.34999878284528185,0.24476714777855196,4.085515597480138,0.15139062556258498,0.07320434959777396,0.056302689404117034
historical,3,optimal,optimal,0.021022629140676288,0.013105883069827833,9.923888985501967e-05,0.000749037168821457,0.3499999999990313,0.2775344210274986,3.6031566689917653,0.12437563140207357,0.054787543095293496,0.04221432207362694,0.021601649065392085,0.013671592605158735,9.69943837850386e-05,0.0007490460434724307,0.34999964865357136,0.2722522427517778,3.6730643240714684,0.06985308074370936,0.03463942148333858,0.02536556638309697
historical,4,optimal,optimal,0.020920561993614844,0.012317771045748972,9.10833039104724e-05,0.001209323914187377,0.3499999999989842,0.25456234189225946,3.9283108120651966,0.1068181860499057,0.049835851503010134,0.032795195461811366,0.021386841650554773,0.012674239566063804,8.902631572525917e-05,0.0012093330769803682,0.3499998213240437,0.24370938288863203,4.103247844408889,0.1342174847418659,0.06072913164144525,0.039304841336805174
historical,5,optimal,optimal,0.021201214321857877,0.012842722239792022,8.913824676191163e-05,0.0007477985043809727,0.3499999999999287,0.2538993218296452,3.938569007564952,0.12109505062401468,0.05582992202117953,0.046423631446894376,0.021440442755387215,0.013194995537482414,8.698174204042584e-05,0.0007478558389176278,0.3499987822762054,0.26091852134346016,3.832614085236401,0.052071911923432156,0.021486842634680578,0.011195523778744443
historical,6,optimal,optimal,0.02020880586072643,0.013752111060742742,9.274216593952036e-05,0.000807839024804786,0.3499999999996379,0.28434412727386627,3.5168653194544413,0.06509307461425066,0.026920200154409563,0.013319475156002236,0.020831369017862925,0.013445195319141528,9.050451174511376e-05,0.0008078504420873598,0.34999807506919245,0.2738246230762742,3.6519725244776424,0.050051562034937824,0.02675287579278582,0.01966534637372158
historical,7,optimal,optimal,0.020559395145813737,0.014216324515740352,9.690412600549727e-05,0.0008867221148474403,0.3499999999983698,0.29265471946884186,3.4169959801603924,0.08938852796422533,0.03576122374277876,0.022529908042453778,0.02081349536243248,0.013660221651035434,9.405316307865811e-05,0.0008867730078355022,0.3499975379175999,0.2788570627413441,3.5860666040492486,0.10883467768023225,0.045603273809425325,0.025471453304739326
historical,8,optimal,optimal,0.02043175896064925,0.013484145196139607,8.60445207064825e-05,0.0006496750487581178,0.3499999999991757,0.2812611788294236,3.5554142386869176,0.11497787903890228,0.04643682260472726,0.031078007559144288,0.02093911838385069,0.013314994081702452,8.302501768076885e-05,0.0006496881461411371,0.3499979780894918,0.2753827597999928,3.631309384531871,0.05275657368373908,0.025028566864542814,0.019673227720615638
historical,9,optimal,optimal,0.02009641404732936,0.013699304249405886,8.858080520490816e-05,0.0011264500488438651,0.34999999999718306,0.294749879426965,3.3927070706327,0.09123723677722724,0.04162020160004385,0.031471797353544495,0.02050568160528791,0.013515797269115235,8.553307857313083e-05,0.0011264513109494419,0.34999968278313914,0.2632464787434607,3.7987212773870427,0.05032977193878517,0.02348609797082315,0.01701210431855616
mbb,0,optimal,optimal,0.021328311036873274,0.013478394019096066,9.25003910987032e-05,0.0008251652024504502,0.349999999999194,0.28758085815911616,3.4772828984560165,0.09292435630611548,0.039751796714985285,0.02602038405806678,0.021465056479400373,0.013205017546602573,9.106297631524861e-05,0.0008251961887684945,0.34999971802232477,0.2612817277703627,3.8272863875076935,0.044238107546767345,0.019732067871928133,0.011933772921479596
mbb,1,optimal,optimal,0.019579079407656703,0.01231593568900391,7.89788634795369e-05,0.0008649329176072482,0.3499999999995118,0.27626519430353846,3.619710410936814,0.09525359805586599,0.04043551657730473,0.026020384714943723,0.019462594327192943,0.012589392572760563,7.856907119393105e-05,0.0008649449621241049,0.34999880088588875,0.27225029860837713,3.6730905534780196,0.07554671644529438,0.035224726458311185,0.023832635467328167
mbb,2,optimal,optimal,0.023078880615543595,0.014038099321854094,0.0001089950019990347,0.0009362912148521423,0.34999999999977177,0.24932390578902497,4.010846841322102,0.2408546804654163,0.11409866416236243,0.08371043179413046,0.02338108169466644,0.013964459592208555,0.00010613992965783447,0.0009362918117748933,0.34999753506207587,0.2452514582822115,4.077447722448595,0.23870243446569586,0.10930149299372637,0.07227108243090125
mbb,3,optimal,optimal,0.022744712991485463,0.013723760824557155,0.00010699330720374448,0.001072595994570867,0.349999999998496,0.277320069896287,3.605941684545165,0.15050506630837354,0.0673139549781624,0.04432953335371121,0.023216269926567265,0.014483026704916508,0.00010559021916889596,0.001072618618612585,0.34999972204839935,0.2742756243669044,3.6459674544839555,0.12399710785953405,0.05714192076313538,0.04140030591395497
mbb,4,optimal,optimal,0.02028785338731247,0.01324231294206833,7.938705306317915e-05,0.0007151267910140476,0.34999999999565845,0.24517164375940906,4.078775117163698,0.1440660250773631,0.06599745789331761,0.044704845543060756,0.020548132305906807,0.012782244017257194,7.827390276367634e-05,0.0007151499771802689,0.3499976335461446,0.26560860981434836,3.7649381949589924,0.08125377046517201,0.043347628563204635,0.030534878524184655
mbb,5,optimal,optimal,0.021801611800986328,0.01474449715513472,9.592915740746367e-05,0.0004256124512446261,0.34999999999785186,0.29718319878290267,3.3649277755116866,0.15148163857686406,0.06892242760253817,0.049720434802882296,0.022293559180694807,0.014297801747716969,9.235679816619939e-05,0.0004256130640412756,0.34999773168934795,0.26971210620721187,3.7076570794776615,0.09158715449384518,0.042799108426041614,0.028508682153204054
mbb,6,optimal,optimal,0.01825057890861932,0.01229564781315943,8.157856302225722e-05,0.0010489550859671332,0.34999999999920994,0.2597412636654719,3.849985119376058,0.07938100089046286,0.037219962744790724,0.028810413105752875,0.018659494444816606,0.01259788507889206,7.972287442484397e-05,0.0010489574267443184,0.34999983173391375,0.2710119653472573,3.6898739829389613,0.04471346275276889,0.02361880885230086,0.017780387617322868
mbb,7,optimal,optimal,0.02191233349686522,0.013592331377515083,0.0001044087224106238,0.000729413042744859,0.3499999999996735,0.28601893531800127,3.4962720174039563,0.11075587015597983,0.054833927204401646,0.04432953337711211,0.022230905740848277,0.013796562048915871,0.00010201497764506315,0.0007294371872596458,0.3499998485014558,0.27694501695983736,3.6108250329884806,0.12675538550110838,0.058957635707698866,0.041757251970073545
mbb,8,optimal,optimal,0.018950599754154068,0.013222442216846209,8.748967864708922e-05,0.0010637202240007823,0.34999999999944215,0.2781150902207851,3.5956337328051404,0.1374668993972844,0.0628318352980798,0.04271306499617492,0.019420510148785913,0.013446539080183778,8.586712142703243e-05,0.0010637314766271404,0.34999951788846595,0.2407907321810684,4.152983758727167,0.15543074266291362,0.08369401870721307,0.06893776337842304
mbb,9,optimal,optimal,0.018351541137073008,0.012389004973507546,7.410646314486755e-05,0.0010284868197059337,0.3499999999978283,0.24832749578690275,4.026940298460263,0.17501403457986942,0.07689396021734984,0.05176683787054664,0.018713001428164296,0.012098421621744675,7.23847645736336e-05,0.00102851994205949,0.34999785103778946,0.27204976549297255,3.675798059182049,0.16075223581967657,0.0688278063709606,0.03876665951247281
